Account_ID,Customer_ID,Product_Type,Disbursement_Date,Loan_Amount,Tenure_Months,Interest_Rate,EMI_Amount,Outstanding_Balance,Months_On_Book,EMIs_Due,EMIs_Paid,Current_DPD,DPD_Bucket,Customer_Age,Gender,Monthly_Income,Employment_Type,Employment_Years,City,Residence_Type,Marital_Status,Dependents,Bureau_Score,Total_Trade_Lines,Active_Accounts,Delinquent_Accounts,Credit_Utilization_Pct,Enquiries_Last_3M,Enquiries_Last_6M,Enquiries_Last_12M,Worst_DPD_Last_12M,Written_Off_Accounts,Collection_Calls,PTP_Count,PTP_Kept,Bounce_Count
LN2024000001,CUS0000001,Consumer Durable,2023-10-02,8700.0,12,0.51,727.0,1740.0,16,12,12,0,Current,56,Male,4000,Salaried,0.5,Dammam,Rented,Single,1,850,6,5,0,10.5,0,0,1,0,0,0,0,0,0
LN2024000002,CUS0000002,Personal Loan,2024-05-10,27700.0,36,19.12,1017.0,5540.0,9,9,9,0,Current,36,Female,7905,Salaried,2.6,Khobar,Owned,Divorced,3,621,9,5,0,58.8,2,2,5,60,0,0,0,0,0
LN2024000003,CUS0000003,Personal Loan,2023-11-07,17600.0,18,18.45,1127.0,3520.0,15,15,15,0,Current,32,Female,4000,Salaried,0.5,Jeddah,Family,Married,4,735,7,5,0,31.7,3,5,5,30,0,0,0,0,0
LN2024000004,CUS0000004,Auto Loan,2024-09-30,56500.0,48,15.38,1583.0,20340.0,5,5,4,8,1-30 DPD,54,Male,16290,Self-Employed,1.9,Riyadh,Rented,Married,2,683,6,4,0,41.3,0,0,1,0,0,5,2,1,0
LN2024000005,CUS0000005,Consumer Durable,2024-05-08,5800.0,6,23.97,1035.0,1160.0,9,6,6,0,Current,54,Female,4000,Business Owner,6.9,Other,Owned,Married,0,762,7,5,0,5.0,1,1,1,0,0,0,0,0,0
LN2024000006,CUS0000006,Auto Loan,2023-11-28,37900.0,36,12.57,1269.0,7580.0,15,15,15,0,Current,45,Female,10321,Salaried,0.5,Riyadh,Owned,Single,3,661,9,4,0,55.6,2,3,6,0,0,0,0,0,0
LN2024000007,CUS0000007,Gold Loan,2023-09-18,12700.0,24,16.84,627.0,2540.0,17,17,17,0,Current,43,Female,4000,Salaried,17.6,Jeddah,Family,Married,4,715,8,6,0,32.8,0,0,1,0,0,0,0,0,0
LN2024000008,CUS0000008,Consumer Durable,2024-09-01,5900.0,12,17.41,539.0,1180.0,5,5,5,0,Current,41,Male,4000,Salaried,2.4,Riyadh,Company Provided,Married,3,758,8,5,0,29.8,0,0,1,0,0,0,0,0,0
LN2024000009,CUS0000009,Auto Loan,2024-07-15,48700.0,36,14.42,1674.0,9740.0,7,7,7,0,Current,40,Female,18140,Salaried,0.5,Dammam,Family,Married,5,734,4,3,0,37.6,3,4,7,0,0,0,0,0,0
LN2024000010,CUS0000010,Auto Loan,2024-07-23,20000.0,36,17.56,719.0,4000.0,7,7,7,0,Current,51,Male,5279,Business Owner,5.3,Jeddah,Owned,Married,1,513,8,4,0,64.5,0,1,1,30,0,0,0,0,0
LN2024000011,CUS0000011,Personal Loan,2023-10-02,11200.0,18,19.96,725.0,3360.0,16,16,14,36,31-60 DPD,35,Female,4000,Business Owner,1.6,Riyadh,Rented,Single,1,506,2,1,0,58.3,2,3,4,0,0,6,1,1,1
LN2024000012,CUS0000012,Consumer Durable,2024-01-20,4900.0,18,20.75,319.0,980.0,13,13,13,0,Current,41,Male,4000,Salaried,2.2,Riyadh,Owned,Married,3,744,6,3,0,45.2,0,1,3,0,0,0,0,0,0
LN2024000013,CUS0000013,Auto Loan,2023-12-26,35300.0,48,14.63,976.0,7060.0,14,14,14,0,Current,39,Female,16957,Salaried,7.8,Jeddah,Rented,Single,2,615,8,6,0,54.1,1,1,2,0,0,0,0,0,0
